Date:,01/03/2024 16:43,,,,,,,
Tool:,,,,,,,,
Generator:,,,,,,,,
Component Count:,,,108,,,,,
Ref,Mouser Number,5 Qty,Qty,,Value,Cmp name,Footprint,Description
MOD1,356-ESP32-S3WRM1N8R2,5,1,,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1-N8R2,PCM_Espressif:ESP32-S3-WROOM-1,"2.4 GHz WiFi (802.11 b/g/n) and Bluetooth ® 5 (LE) module Built around ESP32S3 series of SoCs, Xtensa ® dualcore 32bit LX7 microprocessor Flash up to 16 MB, PSRAM up to 8 MB 36 GPIOs, rich set of peripherals Onboard PCB antenna"
"R1, R4, R5, R8, R9, R12, R22, R23, R24, R25, R26, R36, R38",652-CHP0805FX1001ELF,65,13,,1k,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, US symbol"
"R2, R3, R6, R7, R10, R11",755-SDR10EZPJ2R4,30,6,,2R4,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, US symbol"
"R13, R14, R15",652-CHP0805FX1001ELF,15,3,,1K,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, US symbol"
R16,652-CMP0805-FX-1002L,5,1,,10K,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, US symbol"
"R17, R18, R19, R20, R21",652-CMP0805-FX-1002L,25,5,,10k,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, US symbol"
"R27, R28, R29",652-CMP0805-FX-1003L,15,3,,100k,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, US symbol"
"R30, R31",755-SDR10EZPJ472,10,2,,4.7k,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, US symbol"
"R32, R33, R34, R35",660-RK73H2ATTD80R6F,20,4,,80R,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, US symbol"
R37,71-RCS08050000Z0EA,5,1,,0R,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, US symbol"
"S1, S2",611-PTS526SM15SMTR2L,10,2,,PTS526_SM15_SMTR2_LFS,PTS526_SM15_SMTR2_LFS,PTS526SM15SMTR2LFS,"Tactile Switches 50mA 12VDC, 5.2x5.2mm, 1.5mm H, 160gf, G leads, No ground pin, metal actuator"
X1,815-ABM8G-16.3-B4Y-T,5,1,,ABM8G-16.384MHZ-B4Y-T,ABM8G-16.384MHZ-B4Y-T,ABM8G,"16.384 MHz +/-30ppm Crystal 10pF 80 Ohms 4-SMD, No Lead"
LED1,710-150080RS75000,5,1,,Red,150080RS75000,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode
LED2,710-150080GS75000,5,1,,Green Led,150080GS75000,,
"LED 7, LED 8",710-150080RS75000,10,2,,Red Led,150080RS75000,,
